,Drug_bank_ID,Drug_name,Generic_names,Indications,Associated_condition,URL,Disease_Url,Disease_ID,Disease,Drug_application_number
49,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Hypereosinophilic Syndromes,https://go.drugbank.com//indications/DBCOND0034131,DBCOND0034131,DBCOND0034131,"Hypereosinophilic Syndromes#Hyper Eosinophilic Syndrome#Hypereosinophilic Syndrome#Hypereosinophilic syndrome [HES]#Hypereosinophilic syndrome [HES], unspecified#Hypereosinophilic syndrome (disorder)#Disseminated eosinophilic collagen disease (disorder)#Hypereosinophilic syndrome (morphologic abnormality)",NDA021335
50,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Hypereosinophilic Syndromes,https://go.drugbank.com//indications/DBCOND0034131,DBCOND0034131,DBCOND0034131,"Hypereosinophilic Syndromes#Hyper Eosinophilic Syndrome#Hypereosinophilic Syndrome#Hypereosinophilic syndrome [HES]#Hypereosinophilic syndrome [HES], unspecified#Hypereosinophilic syndrome (disorder)#Disseminated eosinophilic collagen disease (disorder)#Hypereosinophilic syndrome (morphologic abnormality)",NDA021588
51,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Gastrointestinal Stromal Tumor,https://go.drugbank.com//indications/DBCOND0071940,DBCOND0071940,DBCOND0071940,Metastatic Gastrointestinal Stromal Tumor,NDA021335
52,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Gastrointestinal Stromal Tumor,https://go.drugbank.com//indications/DBCOND0071940,DBCOND0071940,DBCOND0071940,Metastatic Gastrointestinal Stromal Tumor,NDA021588
53,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Melanoma,https://go.drugbank.com//indications/DBCOND0030058,DBCOND0030058,DBCOND0030058,"Metastatic Melanoma#Metastatic Melanoma Stage IV#Metastatic Melanoma (MEL)#Malignant melanoma, metastatic (morphologic abnormality)#Metastatic malignant melanoma#Metastatic malignant melanoma (disorder)",NDA021335
54,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Melanoma,https://go.drugbank.com//indications/DBCOND0030058,DBCOND0030058,DBCOND0030058,"Metastatic Melanoma#Metastatic Melanoma Stage IV#Metastatic Melanoma (MEL)#Malignant melanoma, metastatic (morphologic abnormality)#Metastatic malignant melanoma#Metastatic malignant melanoma (disorder)",NDA021588
55,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Myelodysplastic Syndromes (MDS),https://go.drugbank.com//indications/DBCOND0032544,DBCOND0032544,DBCOND0032544,"Myelodysplastic Syndromes (MDS)#MYELODYSPLASTIC SYNDROME; MDS#MDS (Myelodysplastic Syndrome)#Myelo Dysplastic Syndrome#Myelodysplastic Syndrome (MDS)#Myelodysplastic Syndromes#Myelodysplastic Syndrome(MDS)#Myelodysplastic disease#Myelodysplastic Syndrome MDS#Myelodysplastic Syndromes(MDS)#Preleukemia#Myelodysplastic Syndrome#Myeloid dysplasia#[X]Myelodysplastic syndrome, unspecified (disorder)#Myelodysplasia NOS#(Myelodysplastic syndrome, unspecified) or (myelodysplasia)#(Neoplasm of uncert behav of other lymphat and haematopoietic tissue) or (neoplasm of uncert behav of blood) or (idiopathic thrombocythaemia) or (megakaryocytic myelosclerosis) or (myelodysplasia)#Myelodysplasia#Myelodysplastic syndrome NOS#Refractory anemia with excess blasts (disorder)#Subacute myeloid leukemia (disorder)#Myelodysplastic syndrome (morphology)#Myelodysplastic syndrome (disorder)#Myelodysplastic syndrome (morphologic abnormality)",NDA021335
56,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Myelodysplastic Syndromes (MDS),https://go.drugbank.com//indications/DBCOND0032544,DBCOND0032544,DBCOND0032544,"Myelodysplastic Syndromes (MDS)#MYELODYSPLASTIC SYNDROME; MDS#MDS (Myelodysplastic Syndrome)#Myelo Dysplastic Syndrome#Myelodysplastic Syndrome (MDS)#Myelodysplastic Syndromes#Myelodysplastic Syndrome(MDS)#Myelodysplastic disease#Myelodysplastic Syndrome MDS#Myelodysplastic Syndromes(MDS)#Preleukemia#Myelodysplastic Syndrome#Myeloid dysplasia#[X]Myelodysplastic syndrome, unspecified (disorder)#Myelodysplasia NOS#(Myelodysplastic syndrome, unspecified) or (myelodysplasia)#(Neoplasm of uncert behav of other lymphat and haematopoietic tissue) or (neoplasm of uncert behav of blood) or (idiopathic thrombocythaemia) or (megakaryocytic myelosclerosis) or (myelodysplasia)#Myelodysplasia#Myelodysplastic syndrome NOS#Refractory anemia with excess blasts (disorder)#Subacute myeloid leukemia (disorder)#Myelodysplastic syndrome (morphology)#Myelodysplastic syndrome (disorder)#Myelodysplastic syndrome (morphologic abnormality)",NDA021588
57,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Myeloproliferative Disorders,https://go.drugbank.com//indications/DBCOND0029888,DBCOND0029888,DBCOND0029888,"Myeloproliferative Disorders#Myeloproliferative Diseases#Myeloproliferative Disease#Myeloproliferative Disorder#Myeloproliferative disorder NOS#Chronic neutrophilic leukemia#Myeloproliferative disease, NOS#Disorder myeloproliferative",NDA021335
58,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Myeloproliferative Disorders,https://go.drugbank.com//indications/DBCOND0029888,DBCOND0029888,DBCOND0029888,"Myeloproliferative Disorders#Myeloproliferative Diseases#Myeloproliferative Disease#Myeloproliferative Disorder#Myeloproliferative disorder NOS#Chronic neutrophilic leukemia#Myeloproliferative disease, NOS#Disorder myeloproliferative",NDA021588
59,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Refractory Acute Lymphoblastic Leukemia,https://go.drugbank.com//indications/DBCOND0058624,DBCOND0058624,DBCOND0058624,"Refractory Acute Lymphoblastic Leukemia#Acute Lymphoblastic Leukemia, Refractory#Acute lymphocytic leukaemia refractory#Acute lymphocytic leukemia refractory#Acute, refractory Lymphoblastic Leukemia#Acute, refractory Lymphocytic Leukemia#Acute, refractory Lymphoblastic Leukaemia#Acute, refractory Lymphocytic leukaemia#Refractory Acute lymphoblastic leukaemia",NDA021335
60,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Refractory Acute Lymphoblastic Leukemia,https://go.drugbank.com//indications/DBCOND0058624,DBCOND0058624,DBCOND0058624,"Refractory Acute Lymphoblastic Leukemia#Acute Lymphoblastic Leukemia, Refractory#Acute lymphocytic leukaemia refractory#Acute lymphocytic leukemia refractory#Acute, refractory Lymphoblastic Leukemia#Acute, refractory Lymphocytic Leukemia#Acute, refractory Lymphoblastic Leukaemia#Acute, refractory Lymphocytic leukaemia#Refractory Acute lymphoblastic leukaemia",NDA021588
61,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",CKit mutational status unknown Aggressive systemic mastocytosis,https://go.drugbank.com//indications/DBCOND0021934,DBCOND0021934,DBCOND0021934,CKit mutational status unknown Aggressive systemic mastocytosis,NDA021335
62,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",CKit mutational status unknown Aggressive systemic mastocytosis,https://go.drugbank.com//indications/DBCOND0021934,DBCOND0021934,DBCOND0021934,CKit mutational status unknown Aggressive systemic mastocytosis,NDA021588
63,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Dermatofibrosarcoma protuberans,https://go.drugbank.com//indications/DBCOND0021932,DBCOND0021932,DBCOND0021932,Metastatic Dermatofibrosarcoma protuberans#Dermatofibrosarcoma protuberans metastatic#Fibrosarcomatous dermatofibrosarcoma protuberans (morphologic abnormality),NDA021335
64,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Metastatic Dermatofibrosarcoma protuberans,https://go.drugbank.com//indications/DBCOND0021932,DBCOND0021932,DBCOND0021932,Metastatic Dermatofibrosarcoma protuberans#Dermatofibrosarcoma protuberans metastatic#Fibrosarcomatous dermatofibrosarcoma protuberans (morphologic abnormality),NDA021588
65,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Newly diagnosed Acute Lymphoblastic Leukaemia,https://go.drugbank.com//indications/DBCOND0112612,DBCOND0112612,DBCOND0112612,Newly diagnosed Acute Lymphoblastic Leukaemia,NDA021335
66,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Newly diagnosed Acute Lymphoblastic Leukaemia,https://go.drugbank.com//indications/DBCOND0112612,DBCOND0112612,DBCOND0112612,Newly diagnosed Acute Lymphoblastic Leukaemia,NDA021588
67,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Newly diagnosed, chronic phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021945,DBCOND0021945,DBCOND0021945,"Newly diagnosed, chronic phase Chronic myeloid leukemia#Newly diagnosed chronic phase Chronic myeloid leukemia",NDA021335
68,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Newly diagnosed, chronic phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021945,DBCOND0021945,DBCOND0021945,"Newly diagnosed, chronic phase Chronic myeloid leukemia#Newly diagnosed chronic phase Chronic myeloid leukemia",NDA021588
69,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Recurrent Dermatofibrosarcoma protuberans,https://go.drugbank.com//indications/DBCOND0021940,DBCOND0021940,DBCOND0021940,Recurrent Dermatofibrosarcoma protuberans,NDA021335
70,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Recurrent Dermatofibrosarcoma protuberans,https://go.drugbank.com//indications/DBCOND0021940,DBCOND0021940,DBCOND0021940,Recurrent Dermatofibrosarcoma protuberans,NDA021588
71,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, accelerated phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021942,DBCOND0021942,DBCOND0021942,"Refractory, accelerated phase Chronic myeloid leukemia",NDA021335
72,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, accelerated phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021942,DBCOND0021942,DBCOND0021942,"Refractory, accelerated phase Chronic myeloid leukemia",NDA021588
73,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, blast crisis Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021944,DBCOND0021944,DBCOND0021944,"Refractory, blast crisis Chronic myeloid leukemia",NDA021335
74,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, blast crisis Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021944,DBCOND0021944,DBCOND0021944,"Refractory, blast crisis Chronic myeloid leukemia",NDA021588
75,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, chronic phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021943,DBCOND0021943,DBCOND0021943,"Refractory, chronic phase Chronic myeloid leukemia#Refractory chronic phase Chronic myeloid leukemia",NDA021335
76,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
","Refractory, chronic phase Chronic myeloid leukemia",https://go.drugbank.com//indications/DBCOND0021943,DBCOND0021943,DBCOND0021943,"Refractory, chronic phase Chronic myeloid leukemia#Refractory chronic phase Chronic myeloid leukemia",NDA021588
77,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Systemic mastocytosis with associated hematological neoplasm,https://go.drugbank.com//indications/DBCOND0089500,DBCOND0089500,DBCOND0089500,"Systemic mastocytosis with associated hematological neoplasm#Aggressive Systemic Mastocytosis (ASM)#Aggressive Systemic Mastocytosis#Systemic Mastocytosis, Aggressive (ASM)#Aggressive systemic mastocytosis (disorder)#Aggressive systemic mastocytosis (morphologic abnormality)#Aggressive lymphadenopathic mastocytosis with eosinophilia (disorder)#Indolent systemic mastocytosis#Mastocytosis, Systemic#Malignant mastocytosis (morphologic abnormality)#Systemic mast cell disease (disorder)#Systemic mastocytosis#Systemic mastocytosis -RETIRED-",NDA021335
78,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Systemic mastocytosis with associated hematological neoplasm,https://go.drugbank.com//indications/DBCOND0089500,DBCOND0089500,DBCOND0089500,"Systemic mastocytosis with associated hematological neoplasm#Aggressive Systemic Mastocytosis (ASM)#Aggressive Systemic Mastocytosis#Systemic Mastocytosis, Aggressive (ASM)#Aggressive systemic mastocytosis (disorder)#Aggressive systemic mastocytosis (morphologic abnormality)#Aggressive lymphadenopathic mastocytosis with eosinophilia (disorder)#Indolent systemic mastocytosis#Mastocytosis, Systemic#Malignant mastocytosis (morphologic abnormality)#Systemic mast cell disease (disorder)#Systemic mastocytosis#Systemic mastocytosis -RETIRED-",NDA021588
79,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Unresectable Gastrointestinal stromal tumor,https://go.drugbank.com//indications/DBCOND0021941,DBCOND0021941,DBCOND0021941,Unresectable Gastrointestinal stromal tumor,NDA021335
80,DB00619,"Imatinibum, ""α-(4-methyl-1-piperazinyl)-3-((4-(3-pyridyl)-2-pyrimidinyl)amino)-p-toluidide""]#Gleevec#Imatinib#Glivec",Imatinib,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
",Unresectable Gastrointestinal stromal tumor,https://go.drugbank.com//indications/DBCOND0021941,DBCOND0021941,DBCOND0021941,Unresectable Gastrointestinal stromal tumor,NDA021588
