,Drug_application_number,Application_number,Drug,Therapeutic_Area,Biomarker,Labeling_Sections,Date,Indications and usage,Adverse reactions,Drug_name
26,BLA125084,125084,Cetuximab (1),Oncology,EGFR,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",04/23/2019,"1.2 K-Ras Wild-type, EGFR-expressing Colorectal Cancer Erbitux is indicated for the treatment of K-Ras wild-type, epidermal growth factor receptor (EGFR)-expressing, metastatic colorectal cancer (mCRC) as determined by FDA-approved tests for this use [see Dosage and Administration (2.2), Warnings and Precautions (5.7), Clinical Studies (14.2)]: Ł in combination with FOLFIRI (irinotecan, 5-fluorouracil, leucovorin) for first-line treatment, Ł in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy, Ł as a single agent in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan. [See Warnings and Precautions (5.7), Clinical Pharmacology (12.1), Clinical Studies (14.2).] Limitation of Use: Erbitux is not indicated for treatment of Ras-mutant colorectal cancer or when he results of the Ras mutation tests are unknown [see Warnings and Precautions (5.7), Clinical Studies (14.2)].","6.1 Clinical Trials Experience K-Ras Wild-type, EGFR-expressing, Metastatic Colorectal Cancer (mCRC)  In Combination with FOLFIRI  (–) The safety of a cetuximab product in combination with FOLFIRI or FOLFIRI alone was evaluated in CRYSTAL. The data described below reflect exposure to a cetuximab product in 667 patients with K-Ras wild-type, EGFR-expressing, mCRC. (See Table 4) (–)  As Monotherapy (–) The safety of ERBITUX with best supportive care (BSC) or BSC alone was evaluated in Study CA225-025. The data described below reflect exposure to ERBITUX in 242 patients with K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer (mCRC) [see Warnings and Precautions (5.8)]. ERBITUX was administered intravenously at the recommended dosage (400 mg/m2 initial dose, followed by 250 mg/m2 weekly). Patients received a median of 17 infusions (range 1 to 51) [see Clinical Studies (14.2)]. (See Table 5) (–)  In Combination with Irinotecan  ERBITUX at the recommended dosage was administered in combination with irinotecan in 354 patients with EGFR expressing recurrent mCRC in Study CP02-9923 and BOND. (–)",Cetuximab 
27,BLA125084,125084,Cetuximab (2),Oncology,RAS,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",04/23/2019,"1.2 K-Ras Wild-type, EGFR-expressing Colorectal Cancer Erbitux is indicated for the treatment of K-Ras wild-type, epidermal growth factor receptor (EGFR)-expressing, metastatic colorectal cancer (mCRC) as determined by FDA-approved tests for this use [see Dosage and Administration (2.2), Warnings and Precautions (5.7), Clinical Studies (14.2)]: Ł in combination with FOLFIRI (irinotecan, 5-fluorouracil, leucovorin) for first-line treatment,Precautions, Adverse Reactions, Clinical Studies Ł in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy, Ł as a single agent in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan. [See Warnings and Precautions (5.7), Clinical Pharmacology (12.1), Clinical Studies (14.2).] Limitation of Use: Erbitux is not indicated for treatment of Ras-mutant colorectal cancer or when he results of the Ras mutation tests are unknown [see Warnings and Precautions (5.7), Clinical Studies (14.2)].","6.1 Clinical Trials Experience K-Ras Wild-type, EGFR-expressing, Metastatic Colorectal Cancer (mCRC)  In Combination with FOLFIRI  (–) The safety of a cetuximab product in combination with FOLFIRI or FOLFIRI alone was evaluated in CRYSTAL. The data described below reflect exposure to a cetuximab product in 667 patients with K-Ras wild-type, EGFR-expressing, mCRC. (See Table 4) (–)  As Monotherapy  The safety of ERBITUX with best supportive care (BSC) or BSC alone was evaluated in Study CA225-025. The data described below reflect exposure to ERBITUX in 242 patients with K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer (mCRC) [see Warnings and Precautions (5.8)]. (See Table 5) (–)",Cetuximab 
28,NDA022068,22068,Nilotinib (1),Oncology,BCR-ABL1 (Philadelphia chromosome),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",09/25/2019,1.1 Adult and Pediatric Patients with Newly Diagnosed Ph+ CML-CP  Tasigna (nilotinib) is indicated for the treatment of adult and pediatric patients greater than or equal to 1 year of age with newly diagnosed Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) in chronic phase.  1.2 Adult Patients with Resistant or Intolerant Ph+ CML-CP and CML-AP  Tasigna is indicated for the treatment of adult patients with chronic phase and accelerated phase Philadelphia chromosome positive chronic myelogenous leukemia (Ph+ CML) resistant or intolerant to prior therapy that included imatinib.  1.3 Pediatric Patients with Resistant or Intolerant Ph+ CML-CP  Tasigna is indicated for the treatment of pediatric patients greater than or equal to 1 year of age with chronic phase Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML) with resistance or intolerance to prior tyrosine-kinase inhibitor (TKI) therapy.,"6.1 Clinical Trials Experience In Adult Patients with Newly Diagnosed Ph+ CML-CP  The data below reflect exposure to Tasigna from a randomized trial in patients with newly diagnosed Ph+ CML in chronic phase treated at the recommended dose of 300 mg twice daily (n=279). The median time on treatment in the Tasigna 300 mg twice daily group was 61 months (range 0.1 to 71 months). The median actual dose intensity was 593 mg/day in the Tasigna 300 mg twice daily group. (–) (–)  In Adult Patients with Resistant or Intolerant Ph+ CML-CP and CML-AP  In the single open-label multicenter clinical trial, a total of 458 patients with Ph+ CML-CP and CML-AP resistant to or intolerant to at least one prior therapy including imatinib were treated (CML-CP=321; CMLAP=137) at the recommended dose of 400 mg twice daily. (–) Most Frequently Reported Adverse Reactions  Tables 7 and 8 show the percentage of adult patients experiencing non-hematologic adverse reactions (excluding laboratory abnormalities) regardless of relationship to study drug. Adverse reactions reported in greater than 10% of adult patients who received at least 1 dose of Tasigna are listed. (See Tables 7 and 8) (–) Laboratory Abnormalities  Table 9 shows the percentage of adult patients experiencing treatment-emergent Grade 3/4 laboratory abnormalities in patients who received at least one dose of Tasigna. (See Table 9) (–) Treatment discontinuation in Ph+ CML-CP patients who have achieved a sustained molecular response (MR4.5) The rate of musculoskeletal symptoms decreased in patients who entered the Tasigna treatment reinitiation (NTRI) phase, at 11/88 (12.5%) in the newly diagnosed population and 14/56 (25%) in the population previously treated with imatinib. Other adverse reactions observed in the Tasigna re-treatment phase were similar to those observed Tasigna use in patients with newly diagnosed Ph+ CML-CP and resistant or intolerant Ph+ CML-CP and CML-AP. (See Table 10) (–) Additional Data from Clinical Trials  The following adverse drug reactions were reported in adult patients in the Tasigna clinical studies at the recommended doses. These adverse drug reactions are ranked under a heading of frequency, the most frequent first using the following convention: common (greater than or equal to 1% and less than 10%), uncommon (greater than or equal to 0.1% and less than 1%), and unknown frequency (single events). For laboratory abnormalities, very common events (greater than or equal to 10%), which were not included in Tables 7 and 8, are also reported. These adverse reactions are included based on clinical relevance and ranked in order of decreasing seriousness within each category, obtained from 2 clinical studies:  1. Adult patients with newly diagnosed Ph+ CML-CP 60 month analysis and,  2. Adult patients with resistant or intolerant Ph+ CML-CP and CMP-AP 24 months™ analysis. (–) In Pediatric Patients with Newly Diagnosed Ph+ CML-CP or Resistant or Intolerant Ph+ CML-CP  The data below reflect exposure to Tasigna from two studies in pediatric patients from 2 to less than 18 years of age with either newly diagnosed Ph+ CML-CP or imatinib/dasatinib resistant or intolerant Ph+ CML-CP treated at the recommended dose of 230 mg/m2 twice daily (n=69) [see Clinical Studies (14.5)]. The median time on treatment with Tasigna was 13.8 months (range: 0.7 to 30.9 months). The median actual dose intensity was 435.5 mg/m2 /day (range: 149 to 517 mg/m2 /day), and the median relative dose intensity was 94.7% (range: 32 to 112%). Forty patients (58.0%) had relative dose intensity superior to 90%.  In pediatric patients with Ph+ CML-CP, the most common (greater than 20%) non-hematologic adverse drug reactions were headache, rash, hyperbilirubinemia, alanine aminotransferase increased, pyrexia, nausea, upper respiratory tract infection, aspartate aminotransferase increased, and vomiting. The most common (greater than 5%) Grade 3/4 non-hematologic adverse drug reactions were alanine aminotransferase increased and hyperbilirubinemia. (–)  Growth Retardation in Pediatric Population  In a multicenter, open-label, single-arm study of 58 pediatric patients with newly diagnosed or resistant Ph+ CML-CP treated with Tasigna, with a median exposure of 33 months in each cohort, adverse reactions associated with growth and deceleration of growth in regard to height were reported in 3 patients (5%). The adverse reactions include growth retardation in 2 adolescent patients and growth hormone deficiency with body height below normal in the remaining patient (age category: child). Of the 58 pediatric patients, 12% (n = 7) experienced a decrease of two main height percentiles compared with baseline (percentile lines: 5th, 10th, 25th, 50th, 75th, 90th, and 95th). Close monitoring of growth in pediatric patients under Tasigna treatment is recommended [see Warnings and Precautions (5.14)].",Nilotinib 
29,NDA209115,209115,Rucaparib (1),Oncology,BRCA,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",10/08/2020,"1.1 Ovarian Cancer  Ł Rubraca is indicated for the maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy.  Ł Rubraca is indicated for the treatment of adult patients with a deleterious BRCA mutation (germline and/or somatic)-associated epithelial ovarian, fallopian tube, or primary peritoneal cancer who have been treated with two or more chemotherapies. Select patients for therapy based on an FDA-approved companion diagnostic for Rubraca [see Dosage and Administration (2.1)]. 1.2 Metastatic Castration-Resistant Prostate Cancer with BRCA Mutations  Rubraca is indicated for the treatment of adult patients with a deleterious BRCA mutation (germline and/or somatic) associated metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptordirected therapy and a taxane-based chemotherapy. Select patients for therapy based on an FDA-approved companion diagnostic for Rubraca [see Dosage and Administration (2.1)].  This indication is approved under accelerated approval based on objective response rate and duration of response [see Clinical Studies (14.2)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.","6.1 Clinical Trials Experience Treatment of BRCA-mutated Recurrent Ovarian Cancer After 2 or More Chemotherapies (–) Rubraca 600 mg twice daily as monotherapy, has been studied in 377 patients with ovarian cancer treated in two openlabel, single arm trials. In these patients, the median age was 62 years (range 31 to 86), 100% had an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1, 38% had BRCA-mutated ovarian cancer, 45% had received 3 or more prior lines of chemotherapy, and the median time since ovarian cancer diagnosis was 43 months (range 6 to 197). (–)  Treatment of BRCA-mutated mCRPC after Androgen Receptor-directed Therapy and Chemotherapy  The safety of Rubraca 600 mg twice daily was evaluated in a single arm trial (TRITON2) [see Clinical Studies (14.2)]. TRITON2 enrolled 209 patients with HRD-positive mCRPC, including 115 with BRCA-mutated mCRPC. Among the patients with BRCA-mutated mCRPC, the median duration of Rubraca treatment was 6.5 months (range 0.5 to 26.7). (–) Tables 6 and 7 summarize the adverse reactions and laboratory abnormalities, respectively, in patients with BRCA-mutated mCRPC in TRITON2. (See Tables 6 and 7) (–)",Rucaparib 
30,NDA209115,209115,Rucaparib (4),Oncology,"BRCA, Loss of Heterozygosity (Homologous Recombination Deficiency)","5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",05/15/2020,,"6.1 Clinical Trials Experience  Treatment of BRCA-mutated mCRPC after Androgen Receptor-directed Therapy and Chemotherapy  The safety of Rubraca 600 mg twice daily was evaluated in a single arm trial (TRITON2) [see Clinical Studies (14.2)]. TRITON2 enrolled 209 patients with HRD-positive mCRPC, including 115 with BRCA-mutated mCRPC. Among the patients with BRCA-mutated mCRPC, the median duration of Rubraca treatment was 6.5 months (range 0.5 to 26.7). (–)",Rucaparib 
31,BLA125427,125427,Ado-Trastuzumab Emtansine,Oncology,ERBB2 (HER2),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 6 ADVERSE REACTIONS, WARNINGS, PRECAUTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",05/03/2019,"1.1 Metastatic Breast Cancer (MBC) KADCYLA®, as a single agent, is indicated for the treatment of patients with HER2-positive, metastatic breast cancer who previously received trastuzumab and a taxane, separately or in combination.  Patients should have either: Ł Received prior therapy for metastatic disease, or Ł Developed disease recurrence during or within six months of completing adjuvant therapy. 1.2 Early Breast Cancer (EBC)  KADCYLA, as a single agent, is indicated for the adjuvant treatment of patients with HER2- positive early breast cancer who have residual invasive disease after neoadjuvant taxane and trastuzumab -based treatment.  Select patients for therapy based on an FDA-approved companion diagnostic for KADCYLA [see Dosage and Administration (2.1)]","6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  The data in the",Ado-Trastuzumab Emtansine
32,NDA213591,213591,Capecitabine,Oncology,DPYD,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",05/06/2020,TABRECTA is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDAapproved test.  This indication is approved under accelerated approval based on overall response rate and duration of response [see Clinical Studies (14)]. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trial(s).,,Capecitabine
33,NDA211349,211349,Gilteritinib,Oncology,FLT3,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",05/29/2019,1.1 Relapsed or Refractory Acute Myeloid Leukemia XOSPATA is indicated for the treatment of adult patients who have relapsed or refractory acute myeloid leukemia (AML) with a FMS-like tyrosine kinase 3 (FLT3) mutation as detected by an FDA-approved test.,,Gilteritinib
34,NDA209606,209606,Enasidenib,Oncology,IDH2,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",09/27/2019,1.1 Acute Myeloid Leukemia IDHIFA is indicated for the treatment of adult patients with relapsed or refractory acute myeloid leukemia (AML) with an isocitrate dehydrogenase-2 (IDH2) mutation as detected by an FDA-approved test.,,Enasidenib
35,NDA202806,202806,Dabrafenib (1),Oncology,BRAF,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES, 17 PATIENT COUNSELING INFORMATION",04/09/2020,"1.1 BRAF V600E Mutation-Positive Unresectable or Metastatic Melanoma TAFINLAR® is indicated as a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test [see Dosage and Administration (2.1), (2.2)].  1.2 BRAF V600E or V600K Mutation-Positive Unresectable or Metastatic Melanoma  TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test [see Dosage and Administration (2.1), (2.2)].  1.3 Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma  TAFINLAR is indicated, in combination with trametinib, for the adjuvant treatment of patients with melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test, and involvement of lymph node(s), following complete resection [see Dosage and Administration (2.1), (2.3)].  1.4 BRAF V600E Mutation-Positive Metastatic NSCLC  TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) with BRAF V600E mutation as detected by an FDA-approved test [see Dosage and Administration (2.1), (2.4)].  1.5 BRAF V600E Mutation-Positive Locally Advanced or Metastatic Anaplastic Thyroid Cancer  TAFINLAR is indicated, in combination with trametinib, for the treatment of patients with locally advanced or metastatic anaplastic thyroid cancer (ATC) with BRAF V600E mutation and with no satisfactory locoregional treatment options [see Dosage and Administration (2.1), (2.5)].  1.6 Limitations of Use  TAFINLAR is not indicated for treatment of patients with wild-type BRAF melanoma, wild-type BRAF NSCLC, or wild-type BRAF ATC [see Warnings and Precautions (5.2)].","6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice.  The data described in the Warnings and Precautions section reflect exposure to TAFINLAR administered as a single agent in 586 patients with various solid tumors and exposure to TAFINLAR administered with trametinib in 559 patients with melanoma and 93 patients with NSCLC. The safety of TAFINLAR as a single agent was evaluated in 586 patients with BRAF V600 mutation-positive unresectable or metastatic melanoma, previously treated or untreated, who received TAFINLAR 150 mg orally twice daily until disease progression or unacceptable toxicity, including 181 patients treated for at least 6 months and 86 additional patients treated for more than 12 months. TAFINLAR was studied in open-label, single-arm trials and in an open-label, randomized, active-controlled trial. The median daily dose of TAFINLAR was 300 mg (range: 118 to 300 mg).  Metastatic or Unresectable BRAF V600 Mutation Positive Melanoma TAFINLAR as a Single Agent Table 3 and Table 4 present adverse drug reactions and laboratory abnormalities identified from analyses of the BREAK-3 study [see Clinical Studies (14.1)].This study, a multicenter, international, open-label, randomized (3:1), controlled trial allocated 250 patients with unresectable or metastatic BRAF V600E mutation-positive melanoma to receive TAFINLAR 150 mg orally twice daily (n = 187) or dacarbazine 1,000 mg/m2 intravenously every 3 weeks (n = 63). (–) TAFINLAR Administered with Trametinib The safety of TAFINLAR when administered with trametinib was evaluated in 559 patients with previously untreated, unresectable or metastatic, BRAF V600E or V600K mutation-positive melanoma who received TAFINLAR in two trials, Trial 2 (n = 209) a multicenter, double-blind, randomized (1:1), active controlled trial and Trial 3 (n = 350) a multicenter, open-label, randomized (1:1), active controlled trial. (–)  Adjuvant Treatment of BRAF V600E or V600K Mutation-Positive Melanoma  The safety of TAFINLAR when administered with trametinib was evaluated in 435 patients with Stage III melanoma with BRAF V600E or V600K mutations following complete resection who received at least one dose of study therapy in the COMBI-AD study [see Clinical Studies (14.3)]. (–) Metastatic, BRAF V600E-Mutation Positive, Non-Small Cell Lung Cancer (NSCLC) The safety of TAFINLAR when administered with trametinib was evaluated in 93 patients with previously untreated (n = 36) and previously treated (n = 57) metastatic BRAF V600E mutation-positive NSCLC in a multicenter, multi-cohort, non-randomized, open-label trial (Study BRF113928). (–) Locally Advanced or Metastatic, BRAF V600E-Mutation Positive, Anaplastic Thyroid Cancer (ATC)  The safety of TAFINLAR when administered with trametinib was evaluated in a nine-cohort, multicenter, nonrandomized, open-label study in patients with rare cancers with the BRAF V600E mutation, including locally advanced or metastatic ATC (Study BRF117019). (–)",Dabrafenib 
36,NDA202806,202806,Dabrafenib (2),Oncology,G6PD,"5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 17 PATIENT COUNSELING INFORMATION",04/09/2020,,"6.1 Clinical Trials Experience Metastatic or Unresectable BRAF V600E or V600K Mutation-Positive Melanoma  TAFINLAR as a Single Agent  Table 3 and Table 4 present adverse drug reactions identified from analyses of the BREAK-3 study [see Clinical Studies (14.1)]. This study, a multicenter, international, open-label, randomized (3:1), controlled trial allocated 250 patients with unresectable or metastatic BRAF V600E mutation-positive melanoma to receive TAFINLAR 150 mg orally twice daily (n = 187) or dacarbazine 1,000 mg/m2 intravenously every 3 weeks (n = 63). The trial excluded patients with nterval greater than or equal to 480 milliseconds on electrocardiogram, or a known history of glucose-6-phosphate dehydrogenase deficiency. (–)",Dabrafenib 
37,NDA021588,21588,Imatinib (1),Oncology,KIT,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",08/21/2018,1.6 Aggressive Systemic Mastocytosis (ASM) Adult patients with aggressive systemic mastocytosis without the D816V c-Kit mutation as determined with an FDA-approved test [see Dosage and Administration (2.7)] or with c-Kit mutational status unknown. 1.9 Kit+ Gastrointestinal Stromal Tumors (GIST) Patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors. 1.10 Adjuvant Treatment of GIST Adjuvant treatment of adult patients following complete gross resection of Kit (CD117) positive GIST.,,Imatinib 
38,NDA021588,21588,Imatinib (2),Oncology,BCR-ABL1 (Philadelphia chromosome),"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 8 USE IN SPECIFIC POPULATIONS, 12 CLINICAL PHARMACOLOGY, 14 CLINICAL STUDIES",08/21/2018,"1.1 Newly Diagnosed Philadelphia Positive Chronic Myeloid Leukemia (Ph+ CML) Newly diagnosed adult and pediatric patients with Philadelphia chromosome positive chronic myeloid leukemia in chronic phase. 1.2 Ph+ CML in Blast Crisis (BC), Accelerated Phase (AP) or Chronic Phase (CP) After Interferon-alpha (IFN) Therapy Patients with Philadelphia chromosome positive chronic myeloid leukemia in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy. 1.3 Adult patients with Ph+ Acute Lymphoblastic Leukemia (ALL) Adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia. 1.4 Pediatric patients with Ph+ Acute Lymphoblastic Leukemia (ALL) Pediatric patients with newly diagnosed Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy.","6.1 Chronic Myeloid Leukemia The majority of Gleevec-treated patients experienced adverse reactions at some time. Gleevec was discontinued due to drug-related adverse reactions in 2.4% of patients receiving Gleevec in the randomized trial of newly diagnosed patients with Ph+ CML in chronic phase comparing Gleevec versus IFN+Ara-C, and in 12.5% of patients receiving Gleevec in the randomized trial of newly diagnosed patients with Ph+ CML in chronic phase comparing Gleevec and nilotinib. (Seee Table 3) (–)  6.2 Adverse Reactions in Pediatric Population In combination with multi-agent chemotherapy (–) Patients with Ph+ ALL (n=92) were assigned to receive Gleevec and treated in 5 successive cohorts. Gleevec exposure was systematically increased in successive cohorts by earlier introduction and more prolonged duration. The safety of Gleevec given in combination with intensive chemotherapy was evaluated by comparing the incidence of grade 3 and 4 adverse events, neutropenia (less than 750/mcL) and thrombocytopenia (less than 75,000/mcL) in the 92 patients with Ph+ ALL compared to 65 patients with Ph- ALL enrolled on the trial who did not receive Gleevec. The safety was also evaluated comparing the incidence of adverse events in cycles of therapy administered with or without Gleevec. The protocol included up to 18 cycles of therapy. Patients were exposed to a cumulative total of 1425 cycles of therapy, 778 with Gleevec and 647 without Gleevec. The adverse events that were reported with a 5% or greater incidence in patients with Ph+ ALL compared to Ph- ALL or with a 1% or greater incidence in cycles of therapy that included Gleevec are presented in Table 8. (See Table 8) (–)  6.4 Acute Lymphoblastic Leukemia The adverse reactions were similar for Ph+ ALL as for Ph+ CML. The most frequently reported drug-related adverse reactions reported in the Ph+ ALL studies were mild nausea and vomiting, diarrhea, myalgia, muscle cramps and rash. Superficial edema was a common finding in all studies and were described primarily as periorbital or lower limb edemas. These edemas were reported as Grade 3/4 events in 6.3% of the patients and may be managed with diuretics, other supportive measures, or in some patients by reducing the dose of Gleevec.  6.7 Hypereosinophilic Syndrome and Chronic Eosinophilic Leukemia The safety profile in the HES/CEL patient population does not appear to be different from the safety profile of Gleevec observed in other hematologic malignancy populations, such as Ph+ CML. All patients experienced at least one adverse reaction, the most common being gastrointestinal, cutaneous and musculoskeletal disorders. Hematological abnormalities were also frequent, with instances of CTC Grade 3 leukopenia, neutropenia, lymphopenia, and anemia.",Imatinib 
39,NDA021588,21588,Imatinib (3),Oncology,PDGFRB,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 14 CLINICAL STUDIES",08/21/2018,1.5 Myelodysplastic/Myeloproliferative Diseases (MDS/MPD) Adult patients with myelodysplastic/myeloproliferative diseases associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements as determined with an FDA-approved test [see Dosage and Administration (2.6)].,,Imatinib 
40,NDA021588,21588,Imatinib (4),Oncology,FIP1L1-PDGFRA,"1 INDICATIONS AND USAGE, 14 CLINICAL STUDIES",08/21/2018,"1.7 Hypereosinophilic Syndrome (HES) and/or Chronic Eosinophilic Leukemia (CEL) Adult patients with hypereosinophilic syndrome and/or chronic eosinophilic leukemia who have the FIP1L1-demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-  2.7 Adult Patients with ASM Determine D816V c-Kit mutation status prior to initiating treatment. Information on FDA-approved test for the detection of D816V c-Kit mutation is available at http://www.fda.gov/companiondiagnostics.The recommended dose of Gleevec is 400 mg/day for adult patients with ASM without the D816V c-Kit mutation. If cKit mutational status is not known or unavailable, treatment with Gleevec 400 mg/day may be considered for patients with ASM not responding satisfactorily to other therapies. For patients with ASM associated with eosinophilia, a clonal hematological disease related to the fusion kinase FIP1L1-increase from 100 mg to 400 mg for these patients may be considered in the absence of adverse drug reactions if assessments demonstrate an insufficient response to therapy. 2.8 Adult Patients with HES/CEL The recommended dose of Gleevec is 400 mg/day for adult patients with HES/CEL. For HES/CEL patients with demonstrated FIP1L1-starting dose of 100 mg/day is recommended. Dose increase from 100 mg to 400 mg for these patients may be considered in the absence of adverse drug reactions if assessments demonstrate an insufficient response to therapy. 2.14 Dose Adjustment for Hematologic Adverse Reactions Dose reduction or treatment interruptions for severe neutropenia and thrombocytopenia are recommended as indicated in Table 1. (See Table 1) (–)",,Imatinib 
41,NDA205755,205755,Ceritinib,Oncology,ALK,"1 INDICATIONS AND USAGE, 2 DOSAGE AND ADMINISTRATION, 5 WARNINGS AND PRECAUTIONS, 6 ADVERSE REACTIONS, 14 CLINICAL STUDIES",03/05/2019,"ZYKADIA® is indicated for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test.  Warnings and Precautions, Adverse Reactions, Clinical Studies","6.1 Clinical Trials Experience Because clinical trials are conducted under widely varying conditions, adverse reaction rates observed in the clinical trials of a drug cannot be directly compared to rates in the clinical trials of another drug and may not reflect the rates observed in practice. The data in the Warnings and Precautions section reflect exposure to ZYKADIA 750 mg once daily in 925 patients with ALK-positive NSCLC across seven clinical studies, including ASCEND-4 and ASCEND-1, described below, a randomized active-controlled study, two single arm studies, and two dose-escalation studies. (–) In ASCEND-8, a dose optimization study, ZYKADIA 450 mg daily with food (N = 89) was compared to 750 mg daily under fasted conditions (N = 90) in both previously treated and untreated patients with ALK-positive NSCLC. (–) Previously Untreated ALK-Positive Metastatic NSCLC The safety evaluation of ZYKADIA is based on ASCEND-4, an open-label, randomized, active-controlled multicenter study of 376 previously untreated ALK-positive NSCLC patients. Patients received ZYKADIA 750 mg daily (N=189) or chemotherapy plus maintenance chemotherapy (N=187). (–) Previously Treated ALK-Positive Metastatic NSCLC The safety evaluation of ZYKADIA is based on 255 ALK-positive patients in ASCEND-1 (246 patients with NSCLC and 9 patients with other cancers who received ZYKADIA at a dose of 750 mg daily). (See Tables 5 and 6) (–)",Ceritinib
